Dia,Hora de início,Impressões
Domingo,00,113
Domingo,01,64
Domingo,02,34
Domingo,03,27
Domingo,04,41
Domingo,05,64
Domingo,06,122
Domingo,07,183
Domingo,08,262
Domingo,09,337
Domingo,10,378
Domingo,11,294
Domingo,12,265
Domingo,13,269
Domingo,14,273
Domingo,15,248
Domingo,16,300
Domingo,17,337
Domingo,18,315
Domingo,19,622
Domingo,20,499
Domingo,21,200
Domingo,22,158
Domingo,23,140
Segunda-feira,00,98
Segunda-feira,01,230
Segunda-feira,02,82
Segunda-feira,03,50
Segunda-feira,04,38
Segunda-feira,05,103
Segunda-feira,06,114
Segunda-feira,07,180
Segunda-feira,08,193
Segunda-feira,09,210
Segunda-feira,10,200
Segunda-feira,11,280
Segunda-feira,12,273
Segunda-feira,13,247
Segunda-feira,14,265
Segunda-feira,15,355
Segunda-feira,16,345
Segunda-feira,17,348
Segunda-feira,18,357
Segunda-feira,19,452
Segunda-feira,20,482
Segunda-feira,21,332
Segunda-feira,22,165
Segunda-feira,23,121
Terça-feira,00,75
Terça-feira,01,59
Terça-feira,02,25
Terça-feira,03,31
Terça-feira,04,26
Terça-feira,05,70
Terça-feira,06,157
Terça-feira,07,180
Terça-feira,08,199
Terça-feira,09,203
Terça-feira,10,244
Terça-feira,11,228
Terça-feira,12,251
Terça-feira,13,241
Terça-feira,14,251
Terça-feira,15,285
Terça-feira,16,284
Terça-feira,17,284
Terça-feira,18,288
Terça-feira,19,304
Terça-feira,20,286
Terça-feira,21,248
Terça-feira,22,197
Terça-feira,23,123
Quarta-feira,00,133
Quarta-feira,01,88
Quarta-feira,02,24
Quarta-feira,03,46
Quarta-feira,04,16
Quarta-feira,05,55
Quarta-feira,06,153
Quarta-feira,07,138
Quarta-feira,08,164
Quarta-feira,09,232
Quarta-feira,10,273
Quarta-feira,11,257
Quarta-feira,12,476
Quarta-feira,13,215
Quarta-feira,14,236
Quarta-feira,15,194
Quarta-feira,16,244
Quarta-feira,17,280
Quarta-feira,18,340
Quarta-feira,19,389
Quarta-feira,20,342
Quarta-feira,21,265
Quarta-feira,22,224
Quarta-feira,23,112
Quinta-feira,00,197
Quinta-feira,01,49
Quinta-feira,02,31
Quinta-feira,03,50
Quinta-feira,04,82
Quinta-feira,05,134
Quinta-feira,06,113
Quinta-feira,07,162
Quinta-feira,08,181
Quinta-feira,09,203
Quinta-feira,10,192
Quinta-feira,11,202
Quinta-feira,12,156
Quinta-feira,13,175
Quinta-feira,14,135
Quinta-feira,15,143
Quinta-feira,16,245
Quinta-feira,17,311
Quinta-feira,18,265
Quinta-feira,19,347
Quinta-feira,20,394
Quinta-feira,21,196
Quinta-feira,22,118
Quinta-feira,23,57
Sexta-feira,00,298
Sexta-feira,01,129
Sexta-feira,02,55
Sexta-feira,03,51
Sexta-feira,04,101
Sexta-feira,05,144
Sexta-feira,06,165
Sexta-feira,07,196
Sexta-feira,08,159
Sexta-feira,09,183
Sexta-feira,10,186
Sexta-feira,11,190
Sexta-feira,12,203
Sexta-feira,13,205
Sexta-feira,14,310
Sexta-feira,15,315
Sexta-feira,16,190
Sexta-feira,17,333
Sexta-feira,18,349
Sexta-feira,19,351
Sexta-feira,20,244
Sexta-feira,21,182
Sexta-feira,22,182
Sexta-feira,23,405
Sábado,00,108
Sábado,01,44
Sábado,02,79
Sábado,03,42
Sábado,04,44
Sábado,05,149
Sábado,06,178
Sábado,07,207
Sábado,08,263
Sábado,09,262
Sábado,10,280
Sábado,11,248
Sábado,12,384
Sábado,13,436
Sábado,14,361
Sábado,15,219
Sábado,16,297
Sábado,17,441
Sábado,18,420
Sábado,19,239
Sábado,20,185
Sábado,21,156
Sábado,22,91
Sábado,23,105
